TIME,PRICE
2007/7/2,71.19 
2007/7/3,71.22 
2007/7/5,71.78 
2007/7/6,72.77 
2007/7/9,72.05 
2007/7/10,72.69 
2007/7/11,72.50 
2007/7/12,72.63 
2007/7/13,73.84 
2007/7/16,74.20 
2007/7/17,74.28 
2007/7/18,75.17 
2007/7/19,76.00 
2007/7/20,75.53 
2007/7/23,74.97 
2007/7/24,73.33 
2007/7/25,76.30 
2007/7/26,74.76 
2007/7/27,77.00 
2007/7/30,76.72 
2007/7/31,78.05 
2007/8/1,76.68 
2007/8/2,76.92 
2007/8/3,75.39 
2007/8/6,72.10 
2007/8/7,72.37 
2007/8/8,72.32 
2007/8/9,71.57 
2007/8/10,71.56 
2007/8/13,71.58 
2007/8/14,72.69 
2007/8/15,73.01 
2007/8/16,71.68 
2007/8/17,71.72 
2007/8/20,71.24 
2007/8/21,69.45 
2007/8/22,69.40 
2007/8/23,69.90 
2007/8/24,71.10 
2007/8/27,72.09 
2007/8/28,71.68 
2007/8/29,73.52 
2007/8/30,73.55 
2007/8/31,73.98 
2007/9/4,75.16 
2007/9/5,75.87 
2007/9/6,76.46 
2007/9/7,76.69 
2007/9/10,77.88 
2007/9/11,78.16 
2007/9/12,79.62 
2007/9/13,79.97 
2007/9/14,79.06 
2007/9/17,80.89 
2007/9/18,82.22 
2007/9/19,82.29 
2007/9/20,83.78 
2007/9/21,81.38 
2007/9/24,80.67 
2007/9/25,79.44 
2007/9/26,80.60 
2007/9/27,82.92 
2007/9/28,81.64 
2007/10/1,80.19 
2007/10/2,80.31 
2007/10/3,79.67 
2007/10/4,81.46 
2007/10/5,81.19 
2007/10/8,79.20 
2007/10/9,80.18 
2007/10/10,81.28 
2007/10/11,82.92 
2007/10/12,83.71 
2007/10/15,86.48 
2007/10/16,87.47 
2007/10/17,87.06 
2007/10/18,89.75 
2007/10/19,88.55 
2007/10/22,87.11 
2007/10/23,85.08 
2007/10/24,87.68 
2007/10/25,90.35 
2007/10/26,91.72 
2007/10/29,93.64 
2007/10/30,89.62 
2007/10/31,95.14 
2007/11/1,93.62 
2007/11/2,95.72 
2007/11/5,94.62 
2007/11/6,96.89 
2007/11/7,95.84 
2007/11/8,95.86 
2007/11/9,96.38 
2007/11/12,93.64 
2007/11/13,91.34 
2007/11/14,94.03 
2007/11/15,93.72 
2007/11/16,94.66 
2007/11/19,94.89 
2007/11/20,98.15 
2007/11/21,97.34 
2007/11/23,98.25 
2007/11/26,96.89 
2007/11/27,94.62 
2007/11/28,91.41 
2007/11/29,91.04 
2007/11/30,88.50 
2007/12/3,89.70 
2007/12/4,88.10 
2007/12/5,87.31 
2007/12/6,90.59 
2007/12/7,88.16 
2007/12/10,88.33 
2007/12/11,89.32 
2007/12/12,89.28 
2007/12/13,92.40 
2007/12/14,91.23 
2007/12/17,90.83 
2007/12/18,89.18 
2007/12/19,91.34 
2007/12/20,90.99 
2007/12/21,93.29 
2007/12/24,94.05 
2007/12/26,95.91 
2007/12/27,96.87 
2007/12/28,96.06 
2007/12/31,96.00 
2008/1/2,99.22 
2008/1/3,99.23 
2008/1/4,97.84 
2008/1/7,95.31 
2008/1/8,96.15 
2008/1/9,95.81 
2008/1/10,94.24 
2008/1/11,92.69 
2008/1/14,94.34 
2008/1/15,91.63 
2008/1/16,91.00 
2008/1/17,89.86 
2008/1/18,90.53 
2008/1/22,88.97 
2008/1/23,87.86 
2008/1/24,89.42 
2008/1/25,90.62 
2008/1/28,91.05 
2008/1/29,92.28 
2008/1/30,91.79 
2008/1/31,91.41 
2008/2/1,89.19 
2008/2/4,90.01 
2008/2/5,88.23 
2008/2/6,87.00 
2008/2/7,88.34 
2008/2/8,91.87 
2008/2/11,93.64 
2008/2/12,92.53 
2008/2/13,93.32 
2008/2/14,95.27 
2008/2/15,95.53 
2008/2/19,99.96 
2008/2/20,100.36 
2008/2/21,97.49 
2008/2/22,98.81 
2008/2/25,99.31 
2008/2/26,101.28 
2008/2/27,99.73 
2008/2/28,102.59 
2008/2/29,101.62 
2008/3/3,102.39 
2008/3/4,99.94 
2008/3/5,104.66 
2008/3/6,105.47 
2008/3/7,105.16 
2008/3/10,108.05 
2008/3/11,108.68 
2008/3/12,110.06 
2008/3/13,110.15 
2008/3/14,110.11 
2008/3/17,105.94 
2008/3/18,109.16 
2008/3/19,103.66 
2008/3/20,101.70 
2008/3/24,100.34 
2008/3/25,101.50 
2008/3/26,106.22 
2008/3/27,107.21 
2008/3/28,105.35 
2008/3/31,101.53 
2008/4/1,100.82 
2008/4/2,104.64 
2008/4/3,104.24 
2008/4/4,106.03 
2008/4/7,108.89 
2008/4/8,108.72 
2008/4/9,110.81 
2008/4/10,110.01 
2008/4/11,110.25 
2008/4/14,111.93 
2008/4/15,113.86 
2008/4/16,115.11 
2008/4/17,115.03 
2008/4/18,116.84 
2008/4/21,117.61 
2008/4/22,119.10 
2008/4/23,117.92 
2008/4/24,115.95 
2008/4/25,118.50 
2008/4/28,118.81 
2008/4/29,115.44 
2008/4/30,114.60 
2008/5/1,112.18 
2008/5/2,116.32 
2008/5/5,119.96 
2008/5/6,121.78 
2008/5/7,123.91 
2008/5/8,124.44 
2008/5/9,125.97 
2008/5/12,123.76 
2008/5/13,126.00 
2008/5/14,123.86 
2008/5/15,124.53 
2008/5/16,126.42 
2008/5/19,127.31 
2008/5/20,129.28 
2008/5/21,134.07 
2008/5/22,130.70 
2008/5/23,131.92 
2008/5/27,128.23 
2008/5/28,130.83 
2008/5/29,126.55 
2008/5/30,127.44 
2008/6/2,127.62 
2008/6/3,124.35 
2008/6/4,122.10 
2008/6/5,128.26 
2008/6/6,138.81 
2008/6/9,135.01 
2008/6/10,131.69 
2008/6/11,136.33 
2008/6/12,136.88 
2008/6/13,134.84 
2008/6/16,133.58 
2008/6/17,133.53 
2008/6/18,136.18 
2008/6/19,131.90 
2008/6/20,134.70 
2008/6/23,137.37 
2008/6/24,137.13 
2008/6/25,134.66 
2008/6/26,139.53 
2008/6/27,140.73 
2008/6/30,140.31 
2008/7/1,141.44 
2008/7/2,144.26 
2008/7/3,145.41 
2008/7/7,141.63 
2008/7/8,135.91 
2008/7/9,135.66 
2008/7/10,141.87 
2008/7/11,144.82 
2008/7/14,145.18 
2008/7/15,138.86 
2008/7/16,135.05 
2008/7/17,129.49 
2008/7/18,128.86 
2008/7/21,128.82 
2008/7/22,131.05 
2008/7/23,124.47 
2008/7/24,125.50 
2008/7/25,123.36 
2008/7/28,125.06 
2008/7/29,121.85 
2008/7/30,126.87 
2008/7/31,124.03 
2008/8/1,125.04 
2008/8/4,120.86 
2008/8/5,118.58 
2008/8/6,118.73 
2008/8/7,119.91 
2008/8/8,115.05 
2008/8/11,114.44 
2008/8/12,112.98 
2008/8/13,116.37 
2008/8/14,114.91 
2008/8/15,113.49 
2008/8/18,113.10 
2008/8/19,115.20 
2008/8/20,112.30 
2008/8/21,121.63 
2008/8/22,114.44 
2008/8/25,115.49 
2008/8/26,116.10 
2008/8/27,118.07 
2008/8/28,115.58 
2008/8/29,115.61 
2008/9/2,110.15 
2008/9/3,109.31 
2008/9/4,107.53 
2008/9/5,106.53 
2008/9/8,106.58 
2008/9/9,102.41 
2008/9/10,102.69 
2008/9/11,101.06 
2008/9/12,100.92 
2008/9/15,94.03 
2008/9/16,92.73 
2008/9/17,97.17 
2008/9/18,97.98 
2008/9/19,103.95 
2008/9/22,120.41 
2008/9/23,106.95 
2008/9/24,105.41 
2008/9/25,107.64 
2008/9/26,106.82 
2008/9/29,95.39 
2008/9/30,101.92 
2008/10/1,98.69 
2008/10/2,93.85 
2008/10/3,93.76 
2008/10/6,88.93 
2008/10/7,89.42 
2008/10/8,88.88 
2008/10/9,84.93 
2008/10/10,78.24 
2008/10/13,81.87 
2008/10/14,78.64 
2008/10/15,73.62 
2008/10/16,72.22 
2008/10/17,72.31 
2008/10/20,75.76 
2008/10/21,71.42 
2008/10/22,67.22 
2008/10/23,69.38 
2008/10/24,64.51 
2008/10/27,62.17 
2008/10/28,64.72 
2008/10/29,68.16 
2008/10/30,65.39 
2008/10/31,67.86 
2008/11/3,63.82 
2008/11/4,70.09 
2008/11/5,65.13 
2008/11/6,60.50 
2008/11/7,61.27 
2008/11/10,62.05 
2008/11/11,59.00 
2008/11/12,55.56 
2008/11/13,59.41 
2008/11/14,57.30 
2008/11/17,54.98 
2008/11/18,54.48 
2008/11/19,53.39 
2008/11/20,49.25 
2008/11/21,49.72 
2008/11/24,54.25 
2008/11/25,50.60 
2008/11/26,54.61 
2008/11/28,55.12 
2008/12/1,48.75 
2008/12/2,47.52 
2008/12/3,46.81 
2008/12/4,43.80 
2008/12/5,41.50 
2008/12/8,44.01 
2008/12/9,42.40 
2008/12/10,44.09 
2008/12/11,47.31 
2008/12/12,46.37 
2008/12/15,44.77 
2008/12/16,43.66 
2008/12/17,40.33 
2008/12/18,36.37 
2008/12/19,35.89 
2008/12/22,39.55 
2008/12/23,39.10 
2008/12/24,35.46 
2008/12/26,37.59 
2008/12/29,39.88 
2008/12/30,39.12 
2008/12/31,43.22 
2009/1/2,46.16 
2009/1/5,48.30 
2009/1/6,48.53 
2009/1/7,42.64 
2009/1/8,42.58 
2009/1/9,40.92 
2009/1/12,37.60 
2009/1/13,38.84 
2009/1/14,37.40 
2009/1/15,35.23 
2009/1/16,36.03 
2009/1/20,38.64 
2009/1/21,44.30 
2009/1/22,43.28 
2009/1/23,46.02 
2009/1/26,45.71 
2009/1/27,42.02 
2009/1/28,42.17 
2009/1/29,41.59 
2009/1/30,41.66 
2009/2/2,40.30 
2009/2/3,40.96 
2009/2/4,40.21 
2009/2/5,41.01 
2009/2/6,40.30 
2009/2/9,39.69 
2009/2/10,38.17 
2009/2/11,35.92 
2009/2/12,34.38 
2009/2/13,37.90 
2009/2/17,34.94 
2009/2/18,34.66 
2009/2/19,38.91 
2009/2/20,37.12 
2009/2/23,38.02 
2009/2/24,39.92 
2009/2/25,42.36 
2009/2/26,44.70 
2009/2/27,44.61 
2009/3/2,40.02 
2009/3/3,41.53 
2009/3/4,45.45 
2009/3/5,43.70 
2009/3/6,45.53 
2009/3/9,47.23 
2009/3/10,45.59 
2009/3/11,42.81 
2009/3/12,46.95 
2009/3/13,46.08 
2009/3/16,46.98 
2009/3/17,48.78 
2009/3/18,49.61 
2009/3/19,51.19 
2009/3/20,51.05 
2009/3/23,53.83 
2009/3/24,53.64 
2009/3/25,52.84 
2009/3/26,53.98 
2009/3/27,52.36 
2009/3/30,48.59 
2009/3/31,48.89 
2009/4/1,48.45 
2009/4/2,52.42 
2009/4/3,52.31 
2009/4/6,51.32 
2009/4/7,48.42 
2009/4/8,50.07 
2009/4/9,52.17 
2009/4/13,49.95 
2009/4/14,49.14 
2009/4/15,49.88 
2009/4/16,49.88 
2009/4/17,50.22 
2009/4/20,45.52 
2009/4/21,46.61 
2009/4/22,48.67 
2009/4/23,49.64 
2009/4/24,51.59 
2009/4/27,50.11 
2009/4/28,49.20 
2009/4/29,50.77 
2009/4/30,50.84 
2009/5/1,52.88 
2009/5/4,54.51 
2009/5/5,54.14 
2009/5/6,56.34 
2009/5/7,56.45 
2009/5/8,58.58 
2009/5/11,58.13 
2009/5/12,59.30 
2009/5/13,57.73 
2009/5/14,58.64 
2009/5/15,56.52 
2009/5/18,59.21 
2009/5/19,58.80 
2009/5/20,61.70 
2009/5/21,61.06 
2009/5/22,61.58 
2009/5/26,62.52 
2009/5/27,62.95 
2009/5/28,64.79 
2009/5/29,66.32 
2009/6/1,68.07 
2009/6/2,68.19 
2009/6/3,66.00 
2009/6/4,68.90 
2009/6/5,68.45 
2009/6/8,68.80 
2009/6/9,70.62 
2009/6/10,71.50 
2009/6/11,72.45 
2009/6/12,72.09 
2009/6/15,70.27 
2009/6/16,70.25 
2009/6/17,70.85 
2009/6/18,71.36 
2009/6/19,69.62 
2009/6/22,67.08 
2009/6/23,68.50 
2009/6/24,68.38 
2009/6/25,70.42 
2009/6/26,69.25 
2009/6/29,71.56 
2009/6/30,70.60 
2009/7/1,69.16 
2009/7/2,66.43 
2009/7/6,64.08 
2009/7/7,62.23 
2009/7/8,60.40 
2009/7/9,60.45 
2009/7/10,59.80 
2009/7/13,59.98 
2009/7/14,59.79 
2009/7/15,61.94 
2009/7/16,62.23 
2009/7/17,63.52 
2009/7/20,64.26 
2009/7/21,64.78 
2009/7/22,65.43 
2009/7/23,66.69 
2009/7/24,68.00 
2009/7/27,68.15 
2009/7/28,66.72 
2009/7/29,62.89 
2009/7/30,66.69 
2009/7/31,68.80 
2009/8/3,71.39 
2009/8/4,71.79 
2009/8/5,71.82 
2009/8/6,71.81 
2009/8/7,70.59 
2009/8/10,70.67 
2009/8/11,69.57 
2009/8/12,70.57 
2009/8/13,70.95 
2009/8/14,67.43 
2009/8/17,66.78 
2009/8/18,70.22 
2009/8/19,72.31 
2009/8/20,74.89 
2009/8/21,73.85 
2009/8/24,74.03 
2009/8/25,71.35 
2009/8/26,71.32 
2009/8/27,72.81 
2009/8/28,72.82 
2009/8/31,69.55 
2009/9/1,68.25 
2009/9/2,68.07 
2009/9/3,68.08 
2009/9/4,67.98 
2009/9/8,71.33 
2009/9/9,71.67 
2009/9/10,72.06 
2009/9/11,69.34 
2009/9/14,68.70 
2009/9/15,70.32 
2009/9/16,72.42 
2009/9/17,72.41 
2009/9/18,72.00 
2009/9/21,69.48 
2009/9/22,71.66 
2009/9/23,68.31 
2009/9/24,65.95 
2009/9/25,66.01 
2009/9/28,67.18 
2009/9/29,66.70 
2009/9/30,70.42 
2009/10/1,70.28 
2009/10/2,69.70 
2009/10/5,70.25 
2009/10/6,71.19 
2009/10/7,69.81 
2009/10/8,71.38 
2009/10/9,72.01 
2009/10/12,73.11 
2009/10/13,74.42 
2009/10/14,75.39 
2009/10/15,77.78 
2009/10/16,78.57 
2009/10/19,79.59 
2009/10/20,78.75 
2009/10/21,81.03 
2009/10/22,81.25 
2009/10/23,80.19 
2009/10/26,78.62 
2009/10/27,79.43 
2009/10/28,77.07 
2009/10/29,80.02 
2009/10/30,77.05 
2009/11/2,78.17 
2009/11/3,79.50 
2009/11/4,80.24 
2009/11/5,79.77 
2009/11/6,77.46 
2009/11/9,79.26 
2009/11/10,78.83 
2009/11/11,79.22 
2009/11/12,76.75 
2009/11/13,76.52 
2009/11/16,78.89 
2009/11/17,79.42 
2009/11/18,79.74 
2009/11/19,77.84 
2009/11/20,76.69 
2009/11/23,77.47 
2009/11/24,75.83 
2009/11/25,77.81 
2009/11/27,75.97 
2009/11/30,77.41 
2009/12/1,77.90 
2009/12/2,76.46 
2009/12/3,75.74 
2009/12/4,75.72 
2009/12/7,74.06 
2009/12/8,73.08 
2009/12/9,70.67 
2009/12/10,70.59 
2009/12/11,69.59 
2009/12/14,69.53 
2009/12/15,70.85 
2009/12/16,72.81 
2009/12/17,72.71 
2009/12/18,73.08 
2009/12/21,72.73 
2009/12/22,74.47 
2009/12/23,76.59 
2009/12/24,77.74 
2009/12/28,78.66 
2009/12/29,78.78 
2009/12/30,79.41 
2009/12/31,79.61 
2010/1/4,81.64 
2010/1/5,81.47 
2010/1/6,83.25 
2010/1/7,82.69 
2010/1/8,82.91 
2010/1/11,82.04 
2010/1/12,80.11 
2010/1/13,79.66 
2010/1/14,79.19 
2010/1/15,77.95 
2010/1/19,78.83 
2010/1/20,78.35 
2010/1/21,75.84 
2010/1/22,74.07 
2010/1/25,75.22 
2010/1/26,74.66 
2010/1/27,73.75 
2010/1/28,73.89 
2010/1/29,72.67 
2010/2/1,74.97 
2010/2/2,77.00 
2010/2/3,77.10 
2010/2/4,73.00 
2010/2/5,71.91 
2010/2/8,71.69 
2010/2/9,73.78 
2010/2/10,74.67 
2010/2/11,75.33 
2010/2/12,74.20 
2010/2/16,77.38 
2010/2/17,77.35 
2010/2/18,78.39 
2010/2/19,80.09 
2010/2/22,79.19 
2010/2/23,79.13 
2010/2/24,80.33 
2010/2/25,78.34 
2010/2/26,79.63 
2010/3/1,78.84 
2010/3/2,79.65 
2010/3/3,81.03 
2010/3/4,80.60 
2010/3/5,81.79 
2010/3/8,81.80 
2010/3/9,81.38 
2010/3/10,81.98 
2010/3/11,82.27 
2010/3/12,81.10 
2010/3/15,79.86 
2010/3/16,82.06 
2010/3/17,82.87 
2010/3/18,82.21 
2010/3/19,80.68 
2010/3/22,80.69 
2010/3/23,81.64 
2010/3/24,80.23 
2010/3/25,80.16 
2010/3/26,80.14 
2010/3/29,82.52 
2010/3/30,82.55 
2010/3/31,83.38 
2010/4/1,85.27 
2010/4/5,86.83 
2010/4/6,86.78 
2010/4/7,85.64 
2010/4/8,85.64 
2010/4/9,84.87 
2010/4/12,84.31 
2010/4/13,83.81 
2010/4/14,85.94 
2010/4/15,85.31 
2010/4/16,82.95 
2010/4/19,81.91 
2010/4/20,83.44 
2010/4/21,83.44 
2010/4/22,83.75 
2010/4/23,85.06 
2010/4/26,83.88 
2010/4/27,81.84 
2010/4/28,83.32 
2010/4/29,85.60 
2010/4/30,86.19 
2010/5/3,85.99 
2010/5/4,82.08 
2010/5/5,79.56 
2010/5/6,76.85 
2010/5/7,75.44 
2010/5/10,77.28 
2010/5/11,76.03 
2010/5/12,75.51 
2010/5/13,73.87 
2010/5/14,72.03 
2010/5/17,70.48 
2010/5/18,69.09 
2010/5/19,71.10 
2010/5/20,68.67 
2010/5/21,70.42 
2010/5/24,70.01 
2010/5/25,69.95 
2010/5/26,70.88 
2010/5/27,74.92 
2010/5/28,74.19 
2010/6/1,71.94 
2010/6/2,73.69 
2010/6/3,74.62 
2010/6/4,70.92 
2010/6/7,71.14 
2010/6/8,72.51 
2010/6/9,73.89 
2010/6/10,75.45 
2010/6/11,74.23 
2010/6/14,74.77 
2010/6/15,77.07 
2010/6/16,77.50 
2010/6/17,76.59 
2010/6/18,77.34 
2010/6/21,77.08 
2010/6/22,76.94 
2010/6/23,76.06 
2010/6/24,76.56 
2010/6/25,79.16 
2010/6/28,78.15 
2010/6/29,75.44 
2010/6/30,75.35 
2010/7/1,72.60 
2010/7/2,72.29 
2010/7/6,72.03 
2010/7/7,74.89 
2010/7/8,75.92 
2010/7/9,76.45 
2010/7/12,75.02 
2010/7/13,77.23 
2010/7/14,76.77 
2010/7/15,76.88 
2010/7/16,75.78 
2010/7/19,76.46 
2010/7/20,76.95 
2010/7/21,76.46 
2010/7/22,79.23 
2010/7/23,78.87 
2010/7/26,78.87 
2010/7/27,77.07 
2010/7/28,76.84 
2010/7/29,78.25 
2010/7/30,78.97 
2010/8/2,81.46 
2010/8/3,82.50 
2010/8/4,82.47 
2010/8/5,82.19 
2010/8/6,80.88 
2010/8/9,81.43 
2010/8/10,80.28 
2010/8/11,77.34 
2010/8/12,75.74 
2010/8/13,75.56 
2010/8/16,75.06 
2010/8/17,75.50 
2010/8/18,75.24 
2010/8/19,74.44 
2010/8/20,73.44 
2010/8/23,72.89 
2010/8/24,71.50 
2010/8/25,72.91 
2010/8/26,73.07 
2010/8/27,75.56 
2010/8/30,74.06 
2010/8/31,71.66 
2010/9/1,73.91 
2010/9/2,74.92 
2010/9/3,74.33 
2010/9/7,73.81 
2010/9/8,74.95 
2010/9/9,74.25 
2010/9/10,76.38 
2010/9/13,77.14 
2010/9/14,76.67 
2010/9/15,75.81 
2010/9/16,74.50 
2010/9/17,73.50 
2010/9/20,74.69 
2010/9/21,72.84 
2010/9/22,74.87 
2010/9/23,74.95 
2010/9/24,76.47 
2010/9/27,76.22 
2010/9/28,76.25 
2010/9/29,77.92 
2010/9/30,79.80 
2010/10/1,81.73 
2010/10/4,81.32 
2010/10/5,82.61 
2010/10/6,83.34 
2010/10/7,81.41 
2010/10/8,82.84 
2010/10/11,81.95 
2010/10/12,81.68 
2010/10/13,83.19 
2010/10/14,82.81 
2010/10/15,81.45 
2010/10/18,83.00 
2010/10/19,79.35 
2010/10/20,81.92 
2010/10/21,80.73 
2010/10/22,81.90 
2010/10/25,82.39 
2010/10/26,82.45 
2010/10/27,81.97 
2010/10/28,81.92 
2010/10/29,81.43 
2010/11/1,82.96 
2010/11/2,84.44 
2010/11/3,85.06 
2010/11/4,86.61 
2010/11/5,87.42 
2010/11/8,86.70 
2010/11/9,86.40 
2010/11/10,87.89 
2010/11/11,87.72 
2010/11/12,84.75 
2010/11/15,84.53 
2010/11/16,82.30 
2010/11/17,80.39 
2010/11/18,82.25 
2010/11/19,81.62 
2010/11/22,81.57 
2010/11/23,80.98 
2010/11/24,84.23 
2010/11/26,83.89 
2010/11/29,85.89 
2010/11/30,83.60 
2010/12/1,86.83 
2010/12/2,87.95 
2010/12/3,89.44 
2010/12/6,88.85 
2010/12/7,88.25 
2010/12/8,88.50 
2010/12/9,88.53 
2010/12/10,87.81 
2010/12/13,88.19 
2010/12/14,88.27 
2010/12/15,88.32 
2010/12/16,87.81 
2010/12/17,88.22 
2010/12/20,89.27 
2010/12/21,90.03 
2010/12/22,90.62 
2010/12/23,91.47 
2010/12/27,90.73 
2010/12/28,91.25 
2010/12/29,90.97 
2010/12/30,89.60 
2010/12/31,91.40 
2011/1/3,91.56 
2011/1/4,89.23 
2011/1/5,90.38 
2011/1/6,88.12 
2011/1/7,88.48 
2011/1/10,89.36 
2011/1/11,91.22 
2011/1/12,91.97 
2011/1/13,90.95 
2011/1/14,91.66 
2011/1/18,91.26 
2011/1/19,90.60 
2011/1/20,89.90 
2011/1/21,89.13 
2011/1/24,87.73 
2011/1/25,86.20 
2011/1/26,87.61 
2011/1/27,85.23 
2011/1/28,89.49 
2011/1/31,92.22 
2011/2/1,90.47 
2011/2/2,90.92 
2011/2/3,90.55 
2011/2/4,89.13 
2011/2/7,87.44 
2011/2/8,87.43 
2011/2/9,86.80 
2011/2/10,87.56 
2011/2/11,85.31 
2011/2/14,84.82 
2011/2/15,84.36 
2011/2/16,85.20 
2011/2/17,86.39 
2011/2/18,86.15 
2011/2/22,93.36 
2011/2/23,98.98 
2011/2/24,96.81 
2011/2/25,98.22 
2011/2/28,96.88 
2011/3/1,100.59 
2011/3/2,102.44 
2011/3/3,101.69 
2011/3/4,104.91 
2011/3/7,104.75 
2011/3/8,105.03 
2011/3/9,104.45 
2011/3/10,102.58 
2011/3/11,100.59 
2011/3/14,101.70 
2011/3/15,97.38 
2011/3/16,98.14 
2011/3/17,101.73 
2011/3/18,101.61 
2011/3/21,102.02 
2011/3/22,102.57 
2011/3/23,105.56 
2011/3/24,105.41 
2011/3/25,105.55 
2011/3/28,103.86 
2011/3/29,104.55 
2011/3/30,104.35 
2011/3/31,106.78 
2011/4/1,108.31 
2011/4/4,108.22 
2011/4/5,107.97 
2011/4/6,108.63 
2011/4/7,110.39 
2011/4/8,113.06 
2011/4/11,108.88 
2011/4/12,106.05 
2011/4/13,107.38 
2011/4/14,108.47 
2011/4/15,109.39 
2011/4/18,107.58 
2011/4/19,108.00 
2011/4/20,111.38 
2011/4/21,112.35 
2011/4/25,112.19 
2011/4/26,111.94 
2011/4/27,113.16 
2011/4/28,112.76 
2011/4/29,113.73 
